Process name: screen_9
Created at: Sat Aug  2 23:55:53 2025
At time : Sat Aug  2 23:56:37 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:38 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:38 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:38 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:38 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:38 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:38 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:38 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:38 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:38 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:38 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:39 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:39 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:39 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:39 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:39 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:39 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:39 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:39 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:40 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:40 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:41 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:41 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:41 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:41 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:41 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:41 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:41 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:41 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:41 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:41 2025 using core 2 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:42 2025 using core 1 : SRTF then RR at Time Slice 9
